Date,Close,Open,High,Low,Volume,Change
29-06-2021,15748.45,15807.50,15835.90,15724.05,360.33M,-0.42%
28-06-2021,15814.70,15915.35,15915.65,15792.15,255.10M,-0.29%
25-06-2021,15860.35,15839.35,15870.80,15772.30,314.61M,+0.44%
24-06-2021,15790.45,15737.30,15821.40,15702.70,316.66M,+0.66%
23-06-2021,15686.95,15862.80,15862.95,15673.95,287.54M,-0.54%
22-06-2021,15772.75,15840.50,15895.75,15752.10,322.24M,+0.17%
21-06-2021,15746.50,15525.85,15765.15,15505.65,351.53M,+0.40%
18-06-2021,15683.35,15756.50,15761.50,15450.90,640.82M,-0.05%
17-06-2021,15691.40,15648.30,15769.35,15616.75,357.65M,-0.48%
16-06-2021,15767.55,15847.50,15880.85,15742.60,340.19M,-0.64%
15-06-2021,15869.25,15866.95,15901.60,15842.40,323.26M,+0.36%
14-06-2021,15811.85,15791.40,15823.05,15606.50,392.86M,+0.08%
11-06-2021,15799.35,15796.45,15835.55,15749.80,363.01M,+0.39%
10-06-2021,15737.75,15692.10,15751.25,15648.50,298.30M,+0.65%
09-06-2021,15635.35,15766.30,15800.45,15566.90,457.86M,-0.67%
08-06-2021,15740.10,15773.90,15778.80,15680.00,378.16M,-0.07%
07-06-2021,15751.65,15725.10,15773.45,15678.10,393.97M,+0.52%
04-06-2021,15670.25,15712.50,15733.60,15622.35,414.16M,-0.13%
03-06-2021,15690.35,15655.55,15705.10,15611.00,410.24M,+0.73%
02-06-2021,15576.20,15520.35,15597.45,15459.85,428.64M,+0.01%
01-06-2021,15574.85,15629.65,15660.75,15528.30,409.56M,-0.05%
31-05-2021,15582.80,15437.75,15606.35,15374.00,436.00M,+0.95%
28-05-2021,15435.65,15421.20,15469.65,15394.75,455.58M,+0.64%
27-05-2021,15337.85,15323.95,15384.55,15272.50,682.37M,+0.24%
26-05-2021,15301.45,15257.05,15319.90,15194.95,377.68M,+0.61%
25-05-2021,15208.45,15291.75,15293.85,15163.40,417.32M,+0.07%
24-05-2021,15197.70,15211.35,15256.25,15145.45,566.72M,+0.15%
21-05-2021,15175.30,14987.80,15190.00,14985.85,557.73M,+1.81%
20-05-2021,14906.05,15042.60,15069.80,14884.90,467.46M,-0.83%
19-05-2021,15030.15,15058.60,15133.40,15008.85,563.29M,-0.52%
18-05-2021,15108.10,15067.20,15137.25,15043.70,571.92M,+1.24%
17-05-2021,14923.15,14756.25,14938.00,14725.35,534.52M,+1.67%
14-05-2021,14677.80,14749.40,14749.65,14591.90,602.74M,-0.13%
12-05-2021,14696.50,14823.55,14824.05,14649.70,620.32M,-1.04%
11-05-2021,14850.75,14789.70,14900.00,14771.40,616.20M,-0.61%
10-05-2021,14942.35,14928.25,14966.90,14892.50,510.60M,+0.80%
07-05-2021,14823.15,14816.85,14863.05,14765.50,483.68M,+0.67%
